model,length_bucket,samples,correct,accuracy
BERT baseline,1-16,268,180,0.6716417910447762
BERT baseline,17-32,759,501,0.6600790513833992
BERT baseline,33-64,237,137,0.5780590717299579
BERT baseline,65-128,3,1,0.3333333333333333
BERT baseline,129+,0,0,
BERT V2,1-16,268,175,0.6529850746268657
BERT V2,17-32,759,484,0.6376811594202898
BERT V2,33-64,237,137,0.5780590717299579
BERT V2,65-128,3,2,0.6666666666666666
BERT V2,129+,0,0,
LLaMA 3.2 3B zero-shot,1-16,268,123,0.458955223880597
LLaMA 3.2 3B zero-shot,17-32,759,340,0.4479578392621871
LLaMA 3.2 3B zero-shot,33-64,237,121,0.510548523206751
LLaMA 3.2 3B zero-shot,65-128,3,1,0.3333333333333333
LLaMA 3.2 3B zero-shot,129+,0,0,
LLaMA 3.2 3B few-shot,1-16,268,83,0.30970149253731344
LLaMA 3.2 3B few-shot,17-32,759,271,0.3570487483530962
LLaMA 3.2 3B few-shot,33-64,237,99,0.4177215189873418
LLaMA 3.2 3B few-shot,65-128,3,1,0.3333333333333333
LLaMA 3.2 3B few-shot,129+,0,0,
