model,original_label,samples,correct,incorrect,accuracy
BERT baseline,pants-fire,92,77,15,0.8369565217391305
BERT baseline,false,249,181,68,0.7269076305220884
BERT baseline,barely-true,212,165,47,0.7783018867924528
BERT baseline,half-true,265,165,100,0.6226415094339622
BERT baseline,mostly-true,241,114,127,0.4730290456431535
BERT baseline,true,208,117,91,0.5625
BERT V2,pants-fire,92,73,19,0.7934782608695652
BERT V2,false,249,149,100,0.5983935742971888
BERT V2,barely-true,212,145,67,0.6839622641509434
BERT V2,half-true,265,144,121,0.5433962264150943
BERT V2,mostly-true,241,149,92,0.6182572614107884
BERT V2,true,208,138,70,0.6634615384615384
LLaMA 3.2 3B zero-shot,pants-fire,92,35,57,0.3804347826086957
LLaMA 3.2 3B zero-shot,false,249,49,200,0.19678714859437751
LLaMA 3.2 3B zero-shot,barely-true,212,46,166,0.2169811320754717
LLaMA 3.2 3B zero-shot,half-true,265,47,218,0.17735849056603772
LLaMA 3.2 3B zero-shot,mostly-true,241,219,22,0.9087136929460581
LLaMA 3.2 3B zero-shot,true,208,189,19,0.9086538461538461
LLaMA 3.2 3B few-shot,pants-fire,92,3,89,0.03260869565217391
LLaMA 3.2 3B few-shot,false,249,2,247,0.008032128514056224
LLaMA 3.2 3B few-shot,barely-true,212,1,211,0.0047169811320754715
LLaMA 3.2 3B few-shot,half-true,265,0,265,0.0
LLaMA 3.2 3B few-shot,mostly-true,241,241,0,1.0
LLaMA 3.2 3B few-shot,true,208,207,1,0.9951923076923077
